time,z_normalized
0.068,-0.5300619063111449
0.066,-0.4995211539959584
0.068,-0.46921409685977866
0.062,-0.4362951524288261
0.064,-0.4033212208969317
0.052,-0.3732799347486404
0.051,-0.34342652119523653
0.05,-0.3139992576741374
0.05,-0.2841962489632641
0.052,-0.2544344805780978
0.05,-0.22351798307313764
0.051,-0.19424193407963064
0.055,-0.16151086224356548
0.05,-0.13163453739810216
0.05,-0.10136872058762891
0.05,-0.07116247313651014
0.052,-0.04038802564231814
0.05,-0.01128152021005091
0.05,0.017151393235670165
0.05,0.044988613087846074
0.05,0.0725600619521336
0.05,0.10008110597388997
0.05,0.1275196693442331
0.05,0.15477952463651223
0.05,0.18173236861519526
0.05,0.2081170125508056
0.051,0.23386014030875257
0.05,0.25809570504919055
0.05,0.2808649470978264
0.061,0.30611319094728984
0.05,0.324863792368707
0.05,0.34144240330289155
0.05,0.35566115115495833
0.05,0.3673504923636661
0.05,0.37640045272713096
0.05,0.38272396933552666
0.05,0.3862752196047341
0.05,0.38702670998428257
0.05,0.3849692759573482
0.05,0.3793835029532653
0.05,0.36899552313353157
0.05,0.3529072138494178
0.05,0.33033959117090417
0.05,0.3008985808745699
0.05,0.26450628456741176
0.05,0.22143305549573178
0.05,0.1723249920956038
0.05,0.11826350735223312
0.05,0.06097611268689862
0.05,0.003212163146728342
0.05,-0.05151374906636497
0.05,-0.09946250108828669
0.05,-0.13734403137930562
0.05,-0.16292678009283645
0.05,-0.17538594071474078
0.05,-0.17564712944421812
0.05,-0.16959854834053512
0.05,-0.16237232682499902
0.05,-0.15582427955442135
0.05,-0.15060966948170074
0.054,-0.14655437078718614
0.072,-0.14338344796616453
0.053,-0.14155512685982408
0.062,-0.14162844299441457
0.05,-0.14387374961623622
0.059,-0.14774117571586343
0.064,-0.15577387471189075
0.067,-0.16366452369714957
0.065,-0.172219600152131
0.05,-0.17598163430828528
0.05,-0.1763023923971172
0.05,-0.1721554485343646
0.05,-0.16279389459889193
0.05,-0.14866220965665156
0.051,-0.13157496803874758
0.051,-0.11372248926605988
0.05,-0.09605788308825902
0.05,-0.08001081412985234
0.05,-0.06624112760215028
0.05,-0.05532160580663803
0.057,-0.047605082641030805
0.052,-0.04292201454408828
0.057,-0.042092625771537606
0.056,-0.044370008202242794
0.063,-0.050830992562994726
0.053,-0.05949146096144953
0.052,-0.06996192143259772
0.05,-0.08213698203296482
0.05,-0.0962457556831463
0.051,-0.11241654561867398
0.05,-0.13103426154614595
0.051,-0.15169566472531681
0.05,-0.17375007446169943
0.05,-0.19691797299216884
0.05,-0.2204249586451178
0.05,-0.24328126360357982
0.05,-0.2643459055229962
0.05,-0.2823404343064525
0.05,-0.295862678879913
0.05,-0.3035379617198133
0.05,-0.3041840601558884
0.05,-0.297054066067002
0.05,-0.28379759248143055
0.05,-0.2670402734691819
0.051,-0.24806055912717162
0.05,-0.2283935060233787
0.05,-0.2085935674256414
0.05,-0.1886653255923717
0.05,-0.1688058176352797
0.05,-0.1492212451829008
0.05,-0.13011780986376953
0.05,-0.11160548587977093
0.158,-0.09374384259025914
0.161,-0.07626710900734568
0.051,-0.04953421343243236
0.05,-0.02855663442284173
0.05,-0.009622742664950223
0.067,0.010530029830501997
0.065,0.023383264675828075
0.051,0.03141596367185495
0.052,0.034898480064884385
0.059,0.03472893650364517
0.05,0.031745886277510404
0.051,0.02631132780102008
0.053,0.01835652719799441
0.05,0.008417608702624868
0.05,-0.004788460040415554
0.202,-0.010048892697254952
0.056,-0.038582615828037126
0.05,-0.06143892078649915
0.05,-0.08844675186612505
0.05,-0.12047673816517246
0.05,-0.15850490072537182
0.05,-0.20261830245654877
0.05,-0.25189590941791584
0.05,-0.3038266439997618
0.05,-0.3554091269423051
0.05,-0.40293172893192164
