t,x,y,z
0.050, -10279.121, -2470.045, 895.946
0.050, -10286.693, -2461.671, 893.283
0.050, -10294.183, -2452.598, 889.887
0.050, -10301.561, -2442.911, 885.687
0.050, -10308.801, -2432.687, 880.641
0.050, -10315.874, -2422.018, 874.753
0.050, -10322.726, -2411.042, 868.101
0.050, -10329.280, -2399.956, 860.828
0.050, -10335.437, -2389.004, 853.136
0.050, -10341.092, -2378.461, 845.269
0.050, -10346.156, -2368.613, 837.490
0.050, -10350.568, -2359.737, 830.054
0.050, -10354.309, -2352.072, 823.178
0.050, -10357.397, -2345.811, 817.012
0.050, -10359.889, -2341.086, 811.621
0.050, -10361.857, -2337.970, 806.990
0.050, -10363.383, -2336.461, 803.016
0.050, -10364.545, -2336.488, 799.531
0.050, -10365.405, -2337.918, 796.325
0.050, -10366.013, -2340.554, 793.175
0.050, -10366.412, -2344.167, 789.861
0.050, -10366.638, -2348.510, 786.189
0.050, -10366.730, -2353.344, 781.996
0.050, -10366.727, -2358.465, 777.163
0.050, -10366.671, -2363.705, 771.624
0.050, -10366.604, -2368.967, 765.334
0.050, -10366.564, -2374.097, 758.434
0.050, -10366.571, -2379.046, 751.040
0.050, -10366.628, -2383.742, 743.395
0.050, -10366.706, -2388.112, 735.830
0.050, -10366.744, -2392.087, 728.748
0.050, -10366.660, -2395.608, 722.572
0.050, -10366.363, -2398.643, 717.689
0.050, -10365.766, -2401.207, 714.382
0.050, -10364.809, -2403.357, 712.784
0.050, -10363.473, -2405.195, 712.816
0.050, -10361.745, -2406.907, 713.767
0.050, -10359.662, -2408.654, 714.879
0.050, -10357.327, -2410.517, 715.804
0.050, -10354.871, -2412.536, 716.431
0.050, -10352.410, -2414.744, 716.764
0.050, -10350.059, -2417.160, 716.849
0.053, -10347.810, -2419.946, 716.736
0.050, -10345.948, -2422.846, 716.502
0.050, -10344.400, -2426.018, 716.194
0.052, -10343.178, -2429.502, 715.808
0.050, -10342.268, -2433.403, 715.331
0.050, -10341.696, -2437.436, 714.824
0.050, -10341.380, -2441.719, 714.320
0.050, -10341.263, -2446.201, 713.888
0.050, -10341.280, -2450.816, 713.612
0.050, -10341.357, -2455.491, 713.586
0.051, -10341.417, -2460.231, 713.897
0.050, -10341.395, -2464.752, 714.511
